"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"114","100","100","990","990","black","no","legacy","legacy","legacy","0","relative","1","1","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","61","104","Mon Oct  4 15:27:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/01102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","990","990","2","legacy","1024","2","48000","-16","experiment","0","even","NA","5234","1621","6734","2776","3233","1623","NA","1784","2776","1784","1781","OMM Match to sample","1","990","1","yes","1024"
"120","50","50","31512567.5","31512567.5","black","no","legacy","legacy","legacy","0","relative","0","0","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","-300","373","Mon Oct  4 15:27:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/01102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","63024145","63024145","2","legacy","1024","2","48000","-16","experiment","0","even","NA","5234","1621","63031012","2776","3233","1623","NA","6867","2776","6867","6866","OMM Match to sample","1","63025135","2","yes","1024"
"105","33.333333333333336","33.333333333333336","21008822.333333332","21008822.333333332","black","no","legacy","legacy","legacy","0","relative","0","0","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","30","363","Mon Oct  4 15:27:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/01102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","15","15","1332","1332","2","legacy","1024","2","48000","-16","experiment","0","even","NA","5234","1621","63032484","2776","3233","1623","NA","63031152","2776","63031152","63031151","OMM Match to sample","1","63026467","3","yes","1024"
"125","25","25","15756930.25","15756930.25","black","no","legacy","legacy","legacy","0","relative","0","0","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","-254","329","Mon Oct  4 15:27:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/01102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","1254","1254","2","legacy","1024","2","48000","-16","experiment","0","even","NA","5234","1621","63033872","2776","3233","1623","NA","63032618","2776","63032617","63032616","OMM Match to sample","1","63027721","4","yes","1024"
"106","20","20","12610747.4","12610747.4","black","no","legacy","legacy","legacy","0","relative","0","0","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","0","376","Mon Oct  4 15:27:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/01102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","15","15","26016","26016","2","legacy","1024","2","48000","-16","experiment","0","even","NA","5234","1621","63060021","2776","3233","1623","NA","63034004","2776","63034004","63034002","OMM Match to sample","1","63053737","5","yes","1024"
"113","16.666666666666668","16.666666666666668","10510413","10510413","black","no","legacy","legacy","legacy","0","relative","0","0","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","-336","320","Mon Oct  4 15:27:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/01102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","8741","8741","2","legacy","1024","2","48000","-16","experiment","0","even","NA","5234","1621","63068893","2776","3233","1623","NA","63060151","2776","63060151","63060150","OMM Match to sample","1","63062478","6","yes","1024"
"131","14.285714285714286","14.285714285714286","9010520.857142856","9010520.857142856","black","no","legacy","legacy","legacy","0","relative","0","0","NA","6","0","6","NA","NA","0","6","6","6","6","6","undefined","-12","304","Mon Oct  4 15:27:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/01102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","11168","11168","2","legacy","1024","2","48000","-16","experiment","0","even","NA","5234","1621","63080192","2776","3233","1623","NA","63069024","2776","63069023","63069022","OMM Match to sample","1","63073646","7","yes","1024"
"130","12.5","12.5","7886284.75","7886284.75","black","no","legacy","legacy","legacy","0","relative","0","0","NA","7","0","7","NA","NA","0","7","7","7","7","7","undefined","-271","340","Mon Oct  4 15:27:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/01102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","16632","16632","2","legacy","1024","2","48000","-16","experiment","0","even","NA","5234","1621","63096958","2776","3233","1623","NA","63080324","2776","63080324","63080323","OMM Match to sample","1","63090278","8","yes","1024"
"107","11.11111111111111","11.11111111111111","7010749.555555556","7010749.555555556","black","no","legacy","legacy","legacy","0","relative","0","0","NA","8","0","8","NA","NA","0","8","8","8","8","8","undefined","-272","325","Mon Oct  4 15:27:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/01102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","6468","6468","2","legacy","1024","2","48000","-16","experiment","0","even","NA","5234","1621","63103560","2776","3233","1623","NA","63097092","2776","63097092","63097091","OMM Match to sample","1","63096746","9","yes","1024"
"110","10","10","6312431.4","6312431.4","black","no","legacy","legacy","legacy","0","relative","0","0","NA","9","0","9","NA","NA","0","9","9","9","9","9","undefined","-301","286","Mon Oct  4 15:27:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/01102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","27568","27568","2","legacy","1024","2","48000","-16","experiment","0","even","NA","5234","1621","63131261","2776","3233","1623","NA","63103692","2776","63103692","63103691","OMM Match to sample","1","63124314","10","yes","1024"
