"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"135","0","0","25903","25903","black","no","legacy","legacy","legacy","0","relative","0","0","0","0","0","NA","0","0","0","0","0","0","undefined","449","-118","Wed Aug  4 11:21:59 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","8","8","25903","25903","2","legacy","1024","2","48000","-16","experiment","0","even","NA","907","26861","NA","909","NA","956","NA","956","954","OMM Match to sample","0","25903","1","yes","1024"
"145","50","50","14211","14211","black","no","legacy","legacy","legacy","0","relative","1","1","1","0","1","NA","0","1","1","1","1","1","undefined","-22","-69","Wed Aug  4 11:21:59 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","2519","2519","2","legacy","1024","2","48000","-16","experiment","0","even","31424","907","32925","29420","909","NA","26899","31420","26899","26898","OMM Match to sample","1","28422","2","yes","1024"
"127","66.66666666666667","66.66666666666667","38955557.333333336","38955557.333333336","black","no","legacy","legacy","legacy","0","relative","1","1","2","0","2","NA","0","2","2","2","2","2","undefined","-17","-11","Wed Aug  4 11:21:59 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","116838250","116838250","2","legacy","1024","2","48000","-16","experiment","0","even","116873233","907","116874733","116871222","909","NA","32963","116873224","32963","32961","OMM Match to sample","2","116866672","3","yes","1024"
"136","75","75","29216831.5","29216831.5","black","no","legacy","legacy","legacy","0","relative","1","1","3","0","3","NA","0","3","3","3","3","3","undefined","-22","50","Wed Aug  4 11:21:59 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","654","654","2","legacy","1024","2","48000","-16","experiment","0","even","116877450","907","116878951","116875445","909","NA","116874789","116877446","116874789","116874788","OMM Match to sample","3","116867326","4","yes","1024"
"134","80","80","23373784.4","23373784.4","black","no","legacy","legacy","legacy","0","relative","1","1","4","0","4","NA","0","4","4","4","4","4","undefined","-14","50","Wed Aug  4 11:21:59 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","1596","1596","2","legacy","1024","2","48000","-16","experiment","0","even","116882593","907","116884093","116880591","909","NA","116878993","116882592","116878993","116878991","OMM Match to sample","4","116868922","5","yes","1024"
"142","66.66666666666667","66.66666666666667","19482612.166666668","19482612.166666668","black","no","legacy","legacy","legacy","0","relative","0","0","5","0","5","NA","0","5","5","5","5","5","undefined","36","-335","Wed Aug  4 11:21:59 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","3","3","26751","26751","2","legacy","1024","2","48000","-16","experiment","0","even","116882593","907","116910885","116880591","909","NA","116884134","116882592","116884134","116884132","OMM Match to sample","4","116895673","6","yes","1024"
"110","71.42857142857143","71.42857142857143","16699549.42857143","16699549.42857143","black","no","legacy","legacy","legacy","0","relative","1","1","6","0","6","NA","0","6","6","6","6","6","undefined","-22","-7","Wed Aug  4 11:21:59 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","1173","1173","2","legacy","1024","2","48000","-16","experiment","0","even","116914101","907","116915602","116912096","909","NA","116910921","116914097","116910921","116910919","OMM Match to sample","5","116896846","7","yes","1024"
"113","75","75","14612686.625","14612686.625","black","no","legacy","legacy","legacy","0","relative","1","1","7","0","7","NA","0","7","7","7","7","7","undefined","-11","-27","Wed Aug  4 11:21:59 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","4647","4647","2","legacy","1024","2","48000","-16","experiment","0","even","116922304","907","116923804","116920302","909","NA","116915653","116922303","116915653","116915651","OMM Match to sample","6","116901493","8","yes","1024"
"110","77.77777777777777","77.77777777777777","12989375","12989375","black","no","legacy","legacy","legacy","0","relative","1","1","8","0","8","NA","0","8","8","8","8","8","undefined","18","-5","Wed Aug  4 11:21:59 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","2882","2882","2","legacy","1024","2","48000","-16","experiment","0","even","116928722","907","116930223","116926717","909","NA","116923834","116928718","116923834","116923832","OMM Match to sample","7","116904375","9","yes","1024"
"119","70","70","11691991.2","11691991.2","black","no","legacy","legacy","legacy","0","relative","0","0","9","0","9","NA","0","9","9","9","9","9","undefined","193","-299","Wed Aug  4 11:21:59 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","3","3","15537","15537","2","legacy","1024","2","48000","-16","experiment","0","even","116928722","907","116945802","116926717","909","NA","116930263","116928718","116930263","116930261","OMM Match to sample","7","116919912","10","yes","1024"
