"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"145","100","100","1071","1071","black","no","legacy","legacy","legacy","0","relative","1","1","0","0","0","NA","0","0","0","0","0","0","undefined","15","-39","Tue Aug  3 12:00:21 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","1071","1071","2","legacy","1024","2","48000","-16","experiment","0","even","4055","931","5555","2050","935","NA","976","4050","976","975","OMM Match to sample","1","1071","1","yes","1024"
"102","100","100","1092","1092","black","no","legacy","legacy","legacy","0","relative","1","1","1","0","1","NA","0","1","1","1","1","1","undefined","18","39","Tue Aug  3 12:00:21 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","1113","1113","2","legacy","1024","2","48000","-16","experiment","0","even","8710","931","10210","6708","935","NA","5593","8709","5593","5592","OMM Match to sample","2","2184","2","yes","1024"
"114","100","100","1062.3333333333333","1062.3333333333333","black","no","legacy","legacy","legacy","0","relative","1","1","2","0","2","NA","0","2","2","2","2","2","undefined","-33","-58","Tue Aug  3 12:00:21 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","1003","1003","2","legacy","1024","2","48000","-16","experiment","0","even","13258","931","14758","11257","935","NA","10253","13257","10253","10251","OMM Match to sample","3","3187","3","yes","1024"
