"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"134","100","100","708","708","black","no","legacy","legacy","legacy","0","relative","1","1","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","50","12","Tue Sep 28 15:01:16 2021","A basic match-to-sample task","yes","BackgroundTask6 - Copie.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/28092021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","708","708","2","legacy","1024","2","48000","-16","experiment","28092021","odd","NA","4603","1720","6104","2598","2598","1723","NA","1889","2598","1888","1886","OMM Match to sample","1","708","1","yes","1024"
"106","100","100","1036","1036","black","no","legacy","legacy","legacy","0","relative","1","1","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","0","0","Tue Sep 28 15:01:16 2021","A basic match-to-sample task","yes","BackgroundTask6 - Copie.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/28092021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","1364","1364","2","legacy","1024","2","48000","-16","experiment","28092021","odd","NA","9626","1720","11127","7622","7622","1723","NA","6257","7622","6257","6256","OMM Match to sample","2","2072","2","yes","1024"
"125","100","100","3714.3333333333335","3714.3333333333335","black","no","legacy","legacy","legacy","0","relative","1","1","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","9","-114","Tue Sep 28 15:01:16 2021","A basic match-to-sample task","yes","BackgroundTask6 - Copie.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/28092021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","9071","9071","2","legacy","1024","2","48000","-16","experiment","28092021","odd","NA","22360","1720","23860","20358","20358","1723","NA","11285","20358","11285","11284","OMM Match to sample","3","11143","3","yes","1024"
"116","75","75","17222272","17222272","black","no","legacy","legacy","legacy","0","relative","0","0","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","-24","-240","Tue Sep 28 15:01:16 2021","A basic match-to-sample task","yes","BackgroundTask6 - Copie.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/28092021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","2","2","68877945","68877945","2","legacy","1024","2","48000","-16","experiment","28092021","odd","NA","22360","1720","68901961","20358","20358","1723","NA","24015","20358","24015","24014","OMM Match to sample","3","68889088","4","yes","1024"
"102","80","80","15592785.2","15592785.2","black","no","legacy","legacy","legacy","0","relative","1","1","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","99","-50","Tue Sep 28 15:01:16 2021","A basic match-to-sample task","yes","BackgroundTask6 - Copie.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/28092021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","9074838","9074838","2","legacy","1024","2","48000","-16","experiment","28092021","odd","NA","77978977","1720","77980477","77976974","77976975","1723","NA","68902136","77976975","68902136","68902134","OMM Match to sample","4","77963926","5","yes","1024"
"130","66.66666666666667","66.66666666666667","13169278.333333334","13169278.333333334","black","no","legacy","legacy","legacy","0","relative","0","0","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","265","-64","Tue Sep 28 15:01:16 2021","A basic match-to-sample task","yes","BackgroundTask6 - Copie.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/28092021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","8","8","1051744","1051744","2","legacy","1024","2","48000","-16","experiment","28092021","odd","NA","77978977","1720","79032380","77976974","77976975","1723","NA","77980635","77976975","77980635","77980633","OMM Match to sample","4","79015670","6","yes","1024"
"125","57.142857142857146","57.142857142857146","11288010.857142856","11288010.857142856","black","no","legacy","legacy","legacy","0","relative","0","0","NA","6","0","6","NA","NA","0","6","6","6","6","6","undefined","350","-49","Tue Sep 28 15:01:16 2021","A basic match-to-sample task","yes","BackgroundTask6 - Copie.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/28092021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","8","8","406","406","2","legacy","1024","2","48000","-16","experiment","28092021","odd","NA","77978977","1720","79032956","77976974","77976975","1723","NA","79032549","77976975","79032549","79032547","OMM Match to sample","4","79016076","7","yes","1024"
