"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"141","100","100","868","868","black","no","legacy","legacy","legacy","0","relative","1","1","0","0","0","NA","0","0","0","0","0","0","undefined","-92","-37","Tue Aug 24 10:20:13 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","868","868","2","legacy","1024","2","48000","-16","experiment","0","even","3681","770","5181","1679","774","NA","811","1679","811","809","OMM Match to sample","1","868","1","yes","1024"
"131","100","100","693.5","693.5","black","no","legacy","legacy","legacy","0","relative","1","1","1","0","1","NA","0","1","1","1","1","1","undefined","-55","76","Tue Aug 24 10:20:13 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","519","519","2","legacy","1024","2","48000","-16","experiment","0","even","7742","770","9242","5740","774","NA","5221","5740","5221","5220","OMM Match to sample","2","1387","2","yes","1024"
"139","100","100","629","629","black","no","legacy","legacy","legacy","0","relative","1","1","2","0","2","NA","0","2","2","2","2","2","undefined","69","114","Tue Aug 24 10:20:13 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","500","500","2","legacy","1024","2","48000","-16","experiment","0","even","11786","770","13286","9784","774","NA","9283","9784","9283","9281","OMM Match to sample","3","1887","3","yes","1024"
"146","100","100","1555.75","1555.75","black","no","legacy","legacy","legacy","0","relative","1","1","3","0","3","NA","0","3","3","3","3","3","undefined","-81","38","Tue Aug 24 10:20:13 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","4336","4336","2","legacy","1024","2","48000","-16","experiment","0","even","19668","770","21169","17663","774","NA","13327","17663","13327","13326","OMM Match to sample","4","6223","4","yes","1024"
"133","80","80","494629.4","494629.4","black","no","legacy","legacy","legacy","0","relative","0","0","4","0","4","NA","0","4","4","4","4","4","undefined","-427","-378","Tue Aug 24 10:20:13 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","1","1","2466924","2466924","2","legacy","1024","2","48000","-16","experiment","0","even","19668","770","2488149","17663","774","NA","21225","17663","21225","21223","OMM Match to sample","4","2473147","5","yes","1024"
