"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"124","100","100","409","409","black","no","legacy","legacy","legacy","0","relative","1","1","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","73","-17","Fri Oct  8 14:19:48 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/08102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","409","409","2","legacy","1024","2","48000","-16","experiment","0","even","NA","3997","1004","5497","1543","1996","1008","NA","1133","1543","1132","1130","OMM Match to sample","1","409","1","yes","1024"
"116","100","100","46679977","46679977","black","no","legacy","legacy","legacy","0","relative","1","1","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","90","78","Fri Oct  8 14:19:48 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/08102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","93359545","93359545","2","legacy","1024","2","48000","-16","experiment","0","even","NA","93367632","1004","93369132","93365167","93365625","1008","NA","5621","93365168","5621","5620","OMM Match to sample","2","93359954","2","yes","1024"
"143","100","100","31176756","31176756","black","no","legacy","legacy","legacy","0","relative","1","1","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","217","-114","Fri Oct  8 14:19:48 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/08102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","170314","170314","2","legacy","1024","2","48000","-16","experiment","0","even","NA","93542048","1004","93543548","93539582","93540044","1008","NA","93369268","93539583","93369267","93369266","OMM Match to sample","3","93530268","3","yes","1024"
"140","100","100","23386617","23386617","black","no","legacy","legacy","legacy","0","relative","1","1","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","91","26","Fri Oct  8 14:19:48 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/08102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","16200","16200","2","legacy","1024","2","48000","-16","experiment","0","even","NA","93562339","1004","93563839","93559874","93560335","1008","NA","93543674","93559875","93543674","93543672","OMM Match to sample","4","93546468","4","yes","1024"
"134","100","100","18722510","18722510","black","no","legacy","legacy","legacy","0","relative","1","1","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","83","14","Fri Oct  8 14:19:48 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/08102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","66082","66082","2","legacy","1024","2","48000","-16","experiment","0","even","NA","93632519","1004","93634019","93630046","93630515","1008","NA","93563964","93630046","93563964","93563963","OMM Match to sample","5","93612550","5","yes","1024"
"149","100","100","15606685.5","15606685.5","black","no","legacy","legacy","legacy","0","relative","1","1","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","64","-22","Fri Oct  8 14:19:48 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/08102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","27563","27563","2","legacy","1024","2","48000","-16","experiment","0","even","NA","93664175","1004","93665675","93661723","93662173","1008","NA","93634159","93661723","93634159","93634158","OMM Match to sample","6","93640113","6","yes","1024"
"104","100","100","13380882.142857144","13380882.142857144","black","no","legacy","legacy","legacy","0","relative","1","1","NA","6","0","6","NA","NA","0","6","6","6","6","6","undefined","146","-50","Fri Oct  8 14:19:48 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/08102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","26062","26062","2","legacy","1024","2","48000","-16","experiment","0","even","NA","93694349","1004","93695850","93691882","93692345","1008","NA","93665820","93691882","93665820","93665819","OMM Match to sample","7","93666175","7","yes","1024"
"106","100","100","11716325","11716325","black","no","legacy","legacy","legacy","0","relative","1","1","NA","7","0","7","NA","NA","0","7","7","7","7","7","undefined","166","-30","Fri Oct  8 14:19:48 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/08102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","64425","64425","2","legacy","1024","2","48000","-16","experiment","0","even","NA","93762868","1004","93764368","93760403","93760864","1008","NA","93695978","93760403","93695978","93695976","OMM Match to sample","8","93730600","8","yes","1024"
"146","100","100","10416412.888888888","10416412.888888888","black","no","legacy","legacy","legacy","0","relative","1","1","NA","8","0","8","NA","NA","0","8","8","8","8","8","undefined","68","17","Fri Oct  8 14:19:48 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/08102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","17116","17116","2","legacy","1024","2","48000","-16","experiment","0","even","NA","93784069","1004","93785569","93781611","93782065","1008","NA","93764494","93781611","93764494","93764492","OMM Match to sample","9","93747716","9","yes","1024"
"100","100","100","9377168.1","9377168.1","black","no","legacy","legacy","legacy","0","relative","1","1","NA","9","0","9","NA","NA","0","9","9","9","9","9","undefined","202","-27","Fri Oct  8 14:19:48 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/08102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","23965","23965","2","legacy","1024","2","48000","-16","experiment","0","even","NA","93812129","1004","93813629","93809663","93810125","1008","NA","93785698","93809663","93785698","93785696","OMM Match to sample","10","93771681","10","yes","1024"
