"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"110","100","100","126274","126274","black","no","legacy","legacy","legacy","0","relative","1","1","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","-21","-6","Tue Oct 19 10:33:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","126274","126274","2","legacy","1024","2","48000","-16","experiment","0","even","NA","129839","998","131339","127393","127837","1001","NA","1118","127393","1118","1117","OMM Match to sample","1","126274","1","yes","1024"
"127","100","100","72377","72377","black","no","legacy","legacy","legacy","0","relative","1","1","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","47","-3","Tue Oct 19 10:33:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","18480","18480","2","legacy","1024","2","48000","-16","experiment","0","even","NA","152409","998","153910","149950","150405","1001","NA","131469","149950","131469","131468","OMM Match to sample","2","144754","2","yes","1024"
"148","66.66666666666667","66.66666666666667","201730","201730","black","no","legacy","legacy","legacy","0","relative","0","0","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","206","344","Tue Oct 19 10:33:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","15","15","460436","460436","2","legacy","1024","2","48000","-16","experiment","0","even","NA","152409","998","614470","149950","150405","1001","NA","154034","149950","154034","154033","OMM Match to sample","2","605190","3","yes","1024"
"138","50","50","155071.75","155071.75","black","no","legacy","legacy","legacy","0","relative","0","0","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","-220","359","Tue Oct 19 10:33:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","15097","15097","2","legacy","1024","2","48000","-16","experiment","0","even","NA","152409","998","629699","149950","150405","1001","NA","614600","149950","614600","614599","OMM Match to sample","2","620287","4","yes","1024"
"100","60","60","1263660.2","1263660.2","black","no","legacy","legacy","legacy","0","relative","1","1","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","3","-12","Tue Oct 19 10:33:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","5698014","5698014","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6330303","998","6331803","6327828","6328295","1001","NA","629813","6327829","629813","629812","OMM Match to sample","3","6318301","5","yes","1024"
"130","66.66666666666667","66.66666666666667","1335994.5","1335994.5","black","no","legacy","legacy","legacy","0","relative","1","1","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","-31","129","Tue Oct 19 10:33:22 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021m3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","1697666","1697666","2","legacy","1024","2","48000","-16","experiment","0","even","NA","8032063","998","8033563","8029599","8030055","1001","NA","6331932","8029599","6331932","6331932","OMM Match to sample","4","8015967","6","yes","1024"
