"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"106","100","100","1046","1046","black","no","legacy","legacy","legacy","0","relative","1","1","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","0","0","Mon Sep  6 13:21:26 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-6092021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","1046","1046","2","legacy","1024","2","48000","-16","experiment","6092021","odd","NA","4591","1040","6091","2133","2590","1042","NA","1086","2133","1086","1083","OMM Match to sample","1","1046","1","yes","1024"
"124","100","100","1638190.5","1638190.5","black","no","legacy","legacy","legacy","0","relative","1","1","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","-155","40","Mon Sep  6 13:21:26 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-6092021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","3275335","3275335","2","legacy","1024","2","48000","-16","experiment","6092021","odd","NA","3283930","1040","3285430","3281470","3281928","1042","NA","6135","3281471","6135","6133","OMM Match to sample","2","3276381","2","yes","1024"
"138","100","100","1093756","1093756","black","no","legacy","legacy","legacy","0","relative","1","1","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","-134","53","Mon Sep  6 13:21:26 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-6092021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","4887","4887","2","legacy","1024","2","48000","-16","experiment","6092021","odd","NA","3292833","1040","3294333","3290366","3290829","1042","NA","3285479","3290366","3285479","3285478","OMM Match to sample","3","3281268","3","yes","1024"
"101","100","100","820702","820702","black","no","legacy","legacy","legacy","0","relative","1","1","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","-96","188","Mon Sep  6 13:21:26 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-6092021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","1540","1540","2","legacy","1024","2","48000","-16","experiment","6092021","odd","NA","3298370","1040","3299870","3295915","3296369","1042","NA","3294374","3295915","3294374","3294372","OMM Match to sample","4","3282808","4","yes","1024"
"114","100","100","657727.8","657727.8","black","no","legacy","legacy","legacy","0","relative","1","1","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","-192","40","Mon Sep  6 13:21:26 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-6092021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","5831","5831","2","legacy","1024","2","48000","-16","experiment","6092021","odd","NA","3308210","1040","3309710","3305743","3306209","1042","NA","3299911","3305743","3299911","3299910","OMM Match to sample","5","3288639","5","yes","1024"
"128","100","100","551155.8333333334","551155.8333333334","black","no","legacy","legacy","legacy","0","relative","1","1","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","-116","131","Mon Sep  6 13:21:26 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-6092021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","18296","18296","2","legacy","1024","2","48000","-16","experiment","6092021","odd","NA","3330499","1040","3331999","3328046","3328498","1042","NA","3309750","3328046","3309750","3309748","OMM Match to sample","6","3306935","6","yes","1024"
"148","100","100","473604.85714285716","473604.85714285716","black","no","legacy","legacy","legacy","0","relative","1","1","NA","6","0","6","NA","NA","0","6","6","6","6","6","undefined","-145","97","Mon Sep  6 13:21:26 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-6092021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","8299","8299","2","legacy","1024","2","48000","-16","experiment","6092021","odd","NA","3342810","1040","3344310","3340339","3340809","1042","NA","3332039","3340339","3332039","3332037","OMM Match to sample","7","3315234","7","yes","1024"
"134","100","100","414888.25","414888.25","black","no","legacy","legacy","legacy","0","relative","1","1","NA","7","0","7","NA","NA","0","7","7","7","7","7","undefined","-203","52","Mon Sep  6 13:21:26 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-6092021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","3872","3872","2","legacy","1024","2","48000","-16","experiment","6092021","odd","NA","3350679","1040","3352179","3348222","3348678","1042","NA","3344350","3348222","3344350","3344348","OMM Match to sample","8","3319106","8","yes","1024"
"105","100","100","369085.3333333333","369085.3333333333","black","no","legacy","legacy","legacy","0","relative","1","1","NA","8","0","8","NA","NA","0","8","8","8","8","8","undefined","-180","73","Mon Sep  6 13:21:26 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-6092021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","2662","2662","2","legacy","1024","2","48000","-16","experiment","6092021","odd","NA","3357339","1040","3358839","3354882","3355338","1042","NA","3352220","3354883","3352220","3352218","OMM Match to sample","9","3321768","9","yes","1024"
"131","100","100","332654.3","332654.3","black","no","legacy","legacy","legacy","0","relative","1","1","NA","9","0","9","NA","NA","0","9","9","9","9","9","undefined","-111","40","Mon Sep  6 13:21:26 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-6092021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","4775","4775","2","legacy","1024","2","48000","-16","experiment","6092021","odd","NA","3366109","1040","3367609","3363654","3364108","1042","NA","3358879","3363654","3358879","3358878","OMM Match to sample","10","3326543","10","yes","1024"
