"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"134","100","100","1413","1413","black","no","legacy","legacy","legacy","0","relative","1","1","0","0","0","NA","0","0","0","0","0","0","undefined","-88","9","Tue Aug 24 10:04:19 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","1413","1413","2","legacy","1024","2","48000","-16","experiment","0","even","4233","784","5733","2229","787","NA","815","2229","815","813","OMM Match to sample","1","1413","1","yes","1024"
"140","100","100","2005.5","2005.5","black","no","legacy","legacy","legacy","0","relative","1","1","1","0","1","NA","0","1","1","1","1","1","undefined","-28","18","Tue Aug 24 10:04:19 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","2598","2598","2","legacy","1024","2","48000","-16","experiment","0","even","10373","784","11873","8372","787","NA","5773","8372","5773","5771","OMM Match to sample","2","4011","2","yes","1024"
"119","100","100","5245","5245","black","no","legacy","legacy","legacy","0","relative","1","1","2","0","2","NA","0","2","2","2","2","2","undefined","-46","-9","Tue Aug 24 10:04:19 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","11724","11724","2","legacy","1024","2","48000","-16","experiment","0","even","25654","784","27154","23653","787","NA","11928","23653","11928","11927","OMM Match to sample","3","15735","3","yes","1024"
"129","100","100","4808.25","4808.25","black","no","legacy","legacy","legacy","0","relative","1","1","3","0","3","NA","0","3","3","3","3","3","undefined","-53","-77","Tue Aug 24 10:04:19 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","3498","3498","2","legacy","1024","2","48000","-16","experiment","0","even","32693","784","34194","30689","787","NA","27190","30688","27190","27189","OMM Match to sample","4","19233","4","yes","1024"
"105","100","100","5415.6","5415.6","black","no","legacy","legacy","legacy","0","relative","1","1","4","0","4","NA","0","4","4","4","4","4","undefined","-65","0","Tue Aug 24 10:04:19 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","7845","7845","2","legacy","1024","2","48000","-16","experiment","0","even","44078","784","45578","42076","787","NA","34230","42076","34230","34228","OMM Match to sample","5","27078","5","yes","1024"
"121","100","100","4612.5","4612.5","black","no","legacy","legacy","legacy","0","relative","1","1","5","0","5","NA","0","5","5","5","5","5","undefined","-50","58","Tue Aug 24 10:04:19 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","597","597","2","legacy","1024","2","48000","-16","experiment","0","even","48222","784","49722","46218","787","NA","45619","46218","45619","45618","OMM Match to sample","6","27675","6","yes","1024"
