"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"137","100","100","1634","1634","black","no","legacy","legacy","legacy","0","relative","1","1","0","0","0","NA","0","0","0","0","0","0","undefined","9","-8","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","1634","1634","2","legacy","1024","2","48000","-16","experiment","0","even","4576","903","6076","2575","905","NA","939","4575","939","937","OMM Match to sample","1","1634","1","yes","1024"
"101","50","50","276084","276084","black","no","legacy","legacy","legacy","0","relative","0","0","1","0","1","NA","0","1","1","1","1","1","undefined","-66","-351","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","2","2","550534","550534","2","legacy","1024","2","48000","-16","experiment","0","even","4576","903","556652","2575","905","NA","6117","4575","6117","6116","OMM Match to sample","1","552168","2","yes","1024"
"102","33.333333333333336","33.333333333333336","185061.66666666666","185061.66666666666","black","no","legacy","legacy","legacy","0","relative","0","0","2","0","2","NA","0","2","2","2","2","2","undefined","-62","-351","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","2","2","3017","3017","2","legacy","1024","2","48000","-16","experiment","0","even","4576","903","559719","2575","905","NA","556701","4575","556701","556698","OMM Match to sample","1","555185","3","yes","1024"
"131","50","50","138915.75","138915.75","black","no","legacy","legacy","legacy","0","relative","1","1","3","0","3","NA","0","3","3","3","3","3","undefined","-46","-49","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","478","478","2","legacy","1024","2","48000","-16","experiment","0","even","562241","903","563741","560239","905","NA","559760","562240","559760","559759","OMM Match to sample","2","555663","4","yes","1024"
"142","60","60","111273.6","111273.6","black","no","legacy","legacy","legacy","0","relative","1","1","4","0","4","NA","0","4","4","4","4","4","undefined","7","-26","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","705","705","2","legacy","1024","2","48000","-16","experiment","0","even","566488","903","567988","564487","905","NA","563779","566487","563779","563777","OMM Match to sample","3","556368","5","yes","1024"
"149","66.66666666666667","66.66666666666667","93047.83333333333","93047.83333333333","black","no","legacy","legacy","legacy","0","relative","1","1","5","0","5","NA","0","5","5","5","5","5","undefined","17","-62","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","1919","1919","2","legacy","1024","2","48000","-16","experiment","0","even","571951","903","573451","569947","905","NA","568027","571948","568027","568025","OMM Match to sample","4","558287","6","yes","1024"
"140","71.42857142857143","71.42857142857143","80102.71428571429","80102.71428571429","black","no","legacy","legacy","legacy","0","relative","1","1","6","0","6","NA","0","6","6","6","6","6","undefined","-29","63","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","2432","2432","2","legacy","1024","2","48000","-16","experiment","0","even","577928","903","579428","575925","905","NA","573491","577926","573491","573490","OMM Match to sample","5","560719","7","yes","1024"
"126","75","75","70187.375","70187.375","black","no","legacy","legacy","legacy","0","relative","1","1","7","0","7","NA","0","7","7","7","7","7","undefined","-29","63","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","780","780","2","legacy","1024","2","48000","-16","experiment","0","even","582250","903","583750","580248","905","NA","579467","582249","579467","579465","OMM Match to sample","6","561499","8","yes","1024"
"107","77.77777777777777","77.77777777777777","62436.333333333336","62436.333333333336","black","no","legacy","legacy","legacy","0","relative","1","1","8","0","8","NA","0","8","8","8","8","8","undefined","-28","61","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","428","428","2","legacy","1024","2","48000","-16","experiment","0","even","586219","903","587719","584217","905","NA","583788","586218","583788","583786","OMM Match to sample","7","561927","9","yes","1024"
"139","80","80","56211.8","56211.8","black","no","legacy","legacy","legacy","0","relative","1","1","9","0","9","NA","0","9","9","9","9","9","undefined","-28","61","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","191","191","2","legacy","1024","2","48000","-16","experiment","0","even","589958","903","591458","587956","905","NA","587764","589957","587763","587762","OMM Match to sample","8","562118","10","yes","1024"
"134","81.81818181818181","81.81818181818181","51124.90909090909","51124.90909090909","black","no","legacy","legacy","legacy","0","relative","1","1","10","0","10","NA","0","10","10","10","10","10","undefined","-28","61","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","256","256","2","legacy","1024","2","48000","-16","experiment","0","even","593757","903","595257","591755","905","NA","591498","593756","591498","591496","OMM Match to sample","9","562374","11","yes","1024"
"117","75","75","6258732.5","6258732.5","black","no","legacy","legacy","legacy","0","relative","0","0","11","0","11","NA","0","11","11","11","11","11","undefined","-443","368","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","74542416","74542416","2","legacy","1024","2","48000","-16","experiment","0","even","593757","903","75137714","591755","905","NA","595298","593756","595298","595296","OMM Match to sample","9","75104790","12","yes","1024"
"135","69.23076923076923","69.23076923076923","5777560.153846154","5777560.153846154","black","no","legacy","legacy","legacy","0","relative","0","0","12","0","12","NA","0","12","12","12","12","12","undefined","-284","355","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","3492","3492","2","legacy","1024","2","48000","-16","experiment","0","even","593757","903","75141246","591755","905","NA","75137754","593756","75137754","75137752","OMM Match to sample","9","75108282","13","yes","1024"
"130","64.28571428571429","64.28571428571429","5364945","5364945","black","no","legacy","legacy","legacy","0","relative","0","0","13","0","13","NA","0","13","13","13","13","13","undefined","-331","361","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","948","948","2","legacy","1024","2","48000","-16","experiment","0","even","593757","903","75142230","591755","905","NA","75141281","593756","75141281","75141280","OMM Match to sample","9","75109230","14","yes","1024"
"106","60","60","5009346.666666667","5009346.666666667","black","no","legacy","legacy","legacy","0","relative","0","0","14","0","14","NA","0","14","14","14","14","14","undefined","-164","368","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","30970","30970","2","legacy","1024","2","48000","-16","experiment","0","even","593757","903","75173235","591755","905","NA","75142264","593756","75142264","75142262","OMM Match to sample","9","75140200","15","yes","1024"
"113","56.25","56.25","4698341.8125","4698341.8125","black","no","legacy","legacy","legacy","0","relative","0","0","15","0","15","NA","0","15","15","15","15","15","undefined","-388","372","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","33269","33269","2","legacy","1024","2","48000","-16","experiment","0","even","593757","903","75206538","591755","905","NA","75173269","593756","75173269","75173267","OMM Match to sample","9","75173469","16","yes","1024"
"123","58.8235294117647","58.8235294117647","9775416.764705881","9775416.764705881","black","no","legacy","legacy","legacy","0","relative","1","1","16","0","16","NA","0","16","16","16","16","16","undefined","-41","-17","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","91008616","91008616","2","legacy","1024","2","48000","-16","experiment","0","even","166217202","903","166218702","166215192","905","NA","75206576","166217196","75206575","75206574","OMM Match to sample","10","166182085","17","yes","1024"
"147","61.111111111111114","61.111111111111114","9244885.5","9244885.5","black","no","legacy","legacy","legacy","0","relative","1","1","17","0","17","NA","0","17","17","17","17","17","undefined","-58","-41","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","225854","225854","2","legacy","1024","2","48000","-16","experiment","0","even","166446607","903","166448107","166444605","905","NA","166218750","166446606","166218749","166218748","OMM Match to sample","11","166407939","18","yes","1024"
"149","63.1578947368421","63.1578947368421","8759087.05263158","8759087.05263158","black","no","legacy","legacy","legacy","0","relative","1","1","18","0","18","NA","0","18","18","18","18","18","undefined","-115","-42","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","14715","14715","2","legacy","1024","2","48000","-16","experiment","0","even","166464868","903","166466369","166462864","905","NA","166448149","166464864","166448149","166448147","OMM Match to sample","12","166422654","19","yes","1024"
"107","65","65","8322180.2","8322180.2","black","no","legacy","legacy","legacy","0","relative","1","1","19","0","19","NA","0","19","19","19","19","19","undefined","-219","-70","Tue Jul 20 12:56:41 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","20950","20950","2","legacy","1024","2","48000","-16","experiment","0","even","166489358","903","166490858","166487357","905","NA","166466406","166489357","166466406","166466404","OMM Match to sample","13","166443604","20","yes","1024"
